Eesnimi;Perenimi;Sugu;Sünniaeg;Surnud;Asula;Tüüp;Maakond
Stefan;Ivanov;M;1902-02-28;0000-00-00;Lipa;küla;Raplamaa
Joosep;Parts;M;2015-12-28;0000-00-00;Sõõru;küla;Jõgevamaa
Deniel;Kotov;M;1931-08-22;1980-09-14;;;
Rene;Moor;M;1924-10-26;1944-05-27;;;
Raiko;Kink;M;1968-02-08;1992-04-27;;;
Taisi;Sepp;N;1951-05-08;2006-01-22;;;
Reili;Soots;N;1937-09-28;1975-12-15;;;
Kadri-Liis;Sikorski;N;1957-06-07;2006-04-22;;;
Evelin;Uibo;N;1914-10-19;0000-00-00;Rannu;alevik;Tartumaa
Ervin;Klavan;M;2000-03-08;0000-00-00;Vändra;alev;Pärnumaa
Käti;Mihhailov;N;1966-10-21;2019-07-02;;;
Reet;Tuulik;N;1983-11-29;2002-03-06;;;
Alice;Villemson;N;2007-05-31;2012-05-25;;;
Nils;Raadik;M;1964-09-20;1975-05-28;;;
Marlon;Prikk;M;1916-10-26;1942-05-14;;;
Serafima;Orav;N;1971-01-09;1975-07-01;;;
Kuldar;Roots;M;1963-08-13;0000-00-00;Arju;küla;Saaremaa
Karel;Ruus;M;1920-11-01;2013-08-14;;;
Hedvig;Aasa;N;1961-10-15;0000-00-00;Melso;küla;Võrumaa
Kadi-Liis;Ruus;N;2007-08-31;2018-07-11;;;
Dmitri;Nurm;M;1989-06-02;2014-01-26;;;
Keidy;Raid;N;1968-03-20;0000-00-00;Laheküla;küla;Saaremaa
Kristian;Kruglov;M;1910-06-09;0000-00-00;Aluvere;küla;Lääne-Virumaa
Matvei;Kikas;M;2008-11-13;0000-00-00;Tigase;küla;Tartumaa
Marvin;Õispuu;M;1979-03-29;0000-00-00;Kodismaa;küla;Jõgevamaa
Evelina;Karpov;N;1910-08-28;0000-00-00;Valtu-Nurme;küla;Raplamaa
Reti;Medvedev;N;1961-11-20;0000-00-00;Taari;küla;Viljandimaa
Jaroslav;Sokk;M;1961-07-24;0000-00-00;Viira;küla;Saaremaa
Stefani;Võsu;N;1965-05-09;1996-11-24;;;
Nadežda;Lember;N;1902-09-30;2018-10-07;;;
Alondra;Laan;N;1928-01-05;2009-10-17;;;
Caroly;Pärtel;N;2004-12-05;0000-00-00;Järveküla;küla;Saaremaa
Lidia;Kuzmin;N;1995-01-19;2005-10-23;;;
Kenno;Pukk;M;1905-11-05;0000-00-00;Puise;küla;Läänemaa
Tobias;Õun;M;1931-01-15;1996-01-05;;;
Rudolf;Egorov;M;1991-06-06;0000-00-00;Tooste;küla;Põlvamaa
Karl-Kevin;Raja;M;1926-01-05;0000-00-00;Kabrametsa;küla;Läänemaa
Karl Gustav;Sisask;M;1950-12-31;1961-01-31;;;
Vahur;Jänes;M;2016-07-27;2019-02-10;;;
Rodion;Liivak;M;1967-07-01;0000-00-00;Pihva;küla;Tartumaa
Kender;Melnik;M;1922-06-30;0000-00-00;Paaste;küla;Saaremaa
Johanna;Männiste;N;1975-01-07;1985-10-18;;;
Berit;Gerassimov;N;1924-07-14;0000-00-00;Soometsa;küla;Pärnumaa
Nikolai;Säde;M;1937-08-14;0000-00-00;Vehendi;küla;Tartumaa
Simone;Kaljula;N;2012-09-10;0000-00-00;Varangu;küla;Lääne-Virumaa
Enn;Randoja;M;1974-03-11;1980-09-08;;;
Hans-Kristjan;Varik;M;1986-12-10;1987-03-25;;;
Auli;Pärna;N;1953-06-18;2019-12-11;;;
Serafima;Abramov;N;1971-01-29;1978-06-10;;;
Taimar;Mikk;M;1962-02-04;0000-00-00;Keri;küla;Järvamaa
Tõnis;Mikk;M;1903-10-19;0000-00-00;Võistre;küla;Viljandimaa
Aili;Nurm;N;1987-09-02;0000-00-00;Kuusalu;küla;Harjumaa
Miia;Karro;N;2010-11-13;2011-03-24;;;
Heli;Salumets;N;1994-03-02;2012-04-11;;;
Dan;Sulg;M;1991-10-22;0000-00-00;Kuusiku-Nõmme;küla;Raplamaa
Merily;Kont;N;2003-11-21;2011-06-20;;;
Svetlana;Makarov;N;1955-09-15;0000-00-00;Pärna;küla;Hiiumaa
Marje;Aas;N;1941-05-21;2004-12-22;;;
Daisi;Must;N;1969-04-27;0000-00-00;Ülejõe;küla;Järvamaa
Cathy;Rosenberg;N;1953-06-14;0000-00-00;Tagaküla;küla;Võrumaa
Aurelia;Filippov;N;1907-06-01;0000-00-00;Palasi;küla;Lääne-Virumaa
Indrek;Nurm;M;1971-04-03;0000-00-00;Sauvere;küla;Saaremaa
Reelika;Kikas;N;1908-10-26;0000-00-00;Pedase;küla;Harjumaa
Jaanus;Krõlov;M;2006-06-08;0000-00-00;Õvanurme;küla;Jõgevamaa
Verner;Roosileht;M;1973-07-09;0000-00-00;Roodu;küla;Ida-Virumaa
Ketlin;Moor;N;1968-07-27;1974-03-09;;;
Nele-Liis;Powell;N;1992-10-09;2004-10-27;;;
Eva-Liisa;Ivask;N;1975-06-13;0000-00-00;Härmakosu;küla;Harjumaa
Olga;Pent;N;2014-03-24;0000-00-00;Pulli;küla;Võrumaa
Maidu;Poom;M;2008-01-22;0000-00-00;Osmussaare;küla;Läänemaa
Janet;Kasak;N;1952-01-31;0000-00-00;Lassi;küla;Saaremaa
Anna-Liis;Poljakov;N;1917-12-20;1993-12-01;;;
Marion;Matvejev;N;2006-06-06;0000-00-00;Teenuse;küla;Raplamaa
Heiko;Raidma;M;1984-09-18;2015-10-23;;;
Karl Kevin;Tooming;M;2004-07-08;2010-11-05;;;
Leon;Simson;M;1918-07-31;1925-09-11;;;
